,한글,영어
0,정리가 필요하겠네요.,We need to make it up .
1,처음 만났을 때를 떠올려 보세요,Think about when we think of the first time .
2,구썸남 인스타에 좋아요 누름.,When you look at a calm and gentlemen it s good .
3,있었던 일을 차분히 생각해봐요.,Think about what happened and try .
4,많이 찍다보면 조금씩 실력이 늘거예요.,My little ability is getting better when I m getting a lot .
5,가능하면 참석하는 게 좋겠죠.,It would be better to attend if possible .
6,비밀연애가 말도 못하고 힘들죠.,It is difficult to say that the thing is not working .
7,자신을 너무 비난하지 마세요.,Don t blame yourself .
8,한가지만 보면 몰라요.,I don t know if you look .
9,당신이 덜 다치는 쪽으로 하세요.,Keep your injuries .
10,전 다른 일을 많이 벌려요. 정신없이 바쁘면 잊혀지더라고요.,It is still if you are busy with other matters they are willing to be busy .
11,나중에 후회할 거예요.,I will regret it later .
12,장마인데 건조기 사는게 좋을까,The rainy season is the weight of the rainy season .
13,뜻대로 되는게 많지 않죠.,It s not so many things that I can .
14,울어도 돼요.,You can sleep .
15,환승 가능?,Can I transfer to transfer ?
16,여유를 가지세요.,Have a lot of time .
17,저는 힘들다고 생각해요.,I think I m not good .
18,안녕하세요.,Hello is it .
19,뭐 입고 나가지?,What are you wearing ?
20,나들이 가보세요.,Try to be in a snowboard .
21,결혼하면 안 좋은 점?,Do you have any good things to get married ?
22,헤아릴 수 없는 것.,It s not been ambiguous .
23,사람이 크죠.,People are going to be .
24,이제 은퇴해야 하나?,Are you going to retire now ?
25,심경의 변화가 있었나봅니다.,The change of the fact is that I ve been changing .
26,나 보고 잘 웃는 여자애 나 좋아하는 건가?,Am I like a nice girl and like a good one ?
27,시간이 더 많이 지나가길 바랄게요.,I hope it takes more time .
28,새로 적응해야겠네요.,It s been a new .
29,아무 것도 안해도 괜찮아요.,I m fine with nothing .
30,좋아하는거 어떤 느낌이야?,What is the feeling ?
31,사랑 참 별거없네.,There is no big thing that I love .
32,괜찮은 줄 알았다.,I thought I was really good .
33,제가 드리고 싶네요.,I want to give you .
34,좋아하는 사람 포기하는 방법 있어?,Is there a way to give up someone who likes ?
35,철밥통 되기가 어디 쉽겠어요.,It s a bit of being a bit .
36,당신.,You are .
37,표현하지 않고 끝낸다면 후회할 수 있어요.,You can regret it and regret it .
38,밀당을 하고 싶으시군요.,I m going to do it and get it .
39,비와 당신.,You and you are raining .
40,오늘 택배기사님들 쉬는 날이예요.,I m taking a day off today s day .
41,미인은 잠꾸러기라던데요.,It is a bit as a person s bit as a long time .
42,생리현상은 늦게 트는 게 좋죠.,It is better to wake up late .
43,일찍 퇴근하고 쉬고 있어,I m going to work early and take a rest .
44,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,Take care of your company and study more .
45,확신이 있을 때 시작해보세요.,Start when you are sure .
46,사랑한다고 표현해달라고 말해보세요.,Tell me to express your love .
47,밤새 많은 생각을 했나봐요.,I guess I have a lot of thoughts all night .
48,그 사람이 좋아하는 것들을 알아보세요.,Please show me the things that they like .
49,"간단하게 팔찌나 양말, 모자, 신발 등으로 시작해보세요.",Please start simple bracelets or shoes shoes shoes .
50,오늘 처리할 일 너무 많아,I have so many things to handle today .
51,많이 놀랐겠어요.,It s a lot of things .
52,낮술 조금만 하세요.,Just take a little bit .
53,면허 없는데 따야겠지,I have been a license but I m not able to get it .
54,재활용도 안되는 사람에 대한 기억으로 괴로워 말아요.,Don t be painful about people who can t do recycling in the people s own .
55,다음에는 우산에 이름이랑 연락처를 적어보세요.,Please write down the name and contact the number at the next umbrella .
56,한가지만 보면 몰라요.,I don t know if you look ..1
57,너무 무리하면 지쳐요.,It s too noisy .
58,이별이 온 후,I have a farewell .
59,마음이 복잡하겠어요.,I feel like it s .
60,힘들 때네요.,You are in a hard time .
61,친구들과 잘 어울려보세요.,Look at your friends well .
62,배송 중이래,I m in the delivery ?
63,멍 때리기,I m hit .
64,여기까지가 한계야,This is the limit to me .
65,누구나 몰려가는 줄에 설 필요는 없어요.,No need to be old in my mouth .
66,아이스크림 먹어보세요,Try eating ice cream .
67,짝사랑 시작하고 감정 기복이 심해.,Be careful and emotional emotional and emotional .
68,2년사귀다가 헤어젔는데,You have a year of a year and get a hair .
69,한동안은 힘들지도 몰라요.,It might be hard for the hard time .
70,어떻게 하느냐에 따라 다를 거예요.,It s different from how to do .
71,동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져.,I know that it is not an abnormally without being abnormally by being treated without any harmful issue .
72,이젠 잊기로 해,Now I do it ?
73,여자예요? 남자예요?,Is it a woman man man ?
74,도대체 무슨 꿈을 꾼 건가요.,What in the world is a fantasy .
75,중요한 건 노력하는 과정이에요.,The process is working hard .
76,사랑을 시작하게,I start loving you .
77,운동하면 뭐 하나,What do I do ?
78,많이 만나보세요.,Meet a lot .
79,좋아하나봐요.,It s like it .
80,엇갈리는 느낌 싫다,Don t like me ?
81,내일 짝녀랑 영화보러갑니다.,I go to the movie with the day of tomorrow .
82,태연하게 시작해보세요.,Start up .
83,무엇이든 말해보세요.,Whatever tell me .
84,카페 가서 차 마셔도 돼요.,I m going to drink tea for a car .
85,학교 폭력은 범죄에요.,The violence violence is a crime .
86,술 마시다가 더 무너져요.,I get drunk and more .
87,이 말 기억하세요.,Remember this word .
88,그러면 얼른 쟁취하세요.,Then please get it quickly .
89,이 여자 유부녀인가,This woman comes when I was ?
90,썸 중에 고백 언제가 적절해?,When are you going to confess the most of the temple ?
91,자야하는데~~,It s been ?
92,하나씩 하세요.,Do you have one .
93,챙겨 드세요.,Do you have any care .
94,기억도 안 나는 사소한 일로 싸워요.,I also argue with trivial things .
95,봄은 항상 돌아오죠.,Spring is always a bit .
96,멋진 삶을 살고 싶어,I want to live a great life ?
97,돈 모으는 재미,How is the money ?
98,쉬운 일이 아니지만 함께라면 가능할 거예요.,It s not easy to be easy but it will be possible .
99,짧으면 짧을 수록 좋죠.,The more thing is about it s .
100,얼마 되지 않았네요.,It s been too long .
101,인연이 아니었나봅니다.,It is this kind of thing to be .
102,좋아하는 걸로 착각하고 있었을 수도 있어요.,I could have thought about it as I have liked it .
103,원피스 입는 게 낫겠지,You are going to wear a dress .
104,기회가 다시 올 거예요.,The chance will come again .
105,사랑하니까 예뻐보이는 걸 수도 있어요.,I can see you that love love .
106,별똥별 떨어지는 날,You are going to get the deadline ?
107,차였지만 잊지못하고 있는 한 남자입니다.,It s a man who has been a bit of .
108,썸 타는 사이에 얼마나 간섭 가능?,How much is it possible to get into the midst of the ?
109,노력하고 있어요.,I m trying to do .
110,더 깊은 공부할 수 있을 거예요.,I will be able to study more more .
111,사귀기 전에 감정을 갖고 서로 알아가는 단계라면 썸일 거예요.,If you are done before you get some emotions will be taken .
112,고민이 많은데 표현을 못하겠어,I have a lot of worries but I can t express it .
113,추억이 있나봐요.,Look at the memory .
114,오늘 마지막 연락했습니다,I contacted you today .
115,남자들은 좋아하는 여자한테 이럴 수 있어?,Is men like this to the woman who likes this ?
116,그런 사람 얼른 잊으세요.,Let s get down off that kind of person .
117,그분에게 심경 변화가 있었나봅니다.,I think there was a change of the fact that he was an actor .
118,인생은 반복의 연속이지요.,Life is the repeated point of the repeat .
119,날씨가 많이 풀렸죠.,The weather is too nice .
120,남친이 나보다 눈물이 더 많아,I have a lot of tears than my boyfriend .
121,좀 먹어도 괜찮아요.,It s okay if you eat some .
122,바쁘거나 썸이 끝났거나겠죠.,The thing that is getting into the end is that it s a bit .
123,존재 자체로 큰 힘이 되어주고 있나봅니다.,There is a big power in the existence itself .
124,사랑이 모두 정답이 될수는 없어요.,I don t have any answer because I love all the right .
125,그녀에게도 후폭풍이 올까??,Will she come out to her ?
126,도전하기 싫다,Don t try to challenge ?
127,우울합니다,It s bad .
128,같이 놀아요.,Let s play together .
129,더 좋은 사람 만날 거예요.,It will be a better person .
130,날이 많이 추운데.,It is cold for me so it s cold .
131,같이 놀러갈 친구가 없어,I don t have a friend to go out with you .
132,앞머리만이라도 감으세요.,Wash the bang .
133,후회하지 않았으면 좋겠어요.,I hope I don t regret .
134,헤어진지 4일,It s been a bit ?
135,마음이 많이 아프겠어요.,I m very kind of good .
136,저도 궁금해요.,I wonder too .
137,남과 비교하지 마세요.,Don t compare others and compare .
138,언제쯤 무뎌질까,When will be a fresh amount of ?
139,그 애의 눈에도 당신이 띄길 바랄게요.,I hope you are your eyes .
140,여유는 마음 가짐에 있어요.,I m in my mind .
141,괜한 의미부여는 하지 마세요.,Don t give up the meaning of the demand .
142,영화관 알바 하고 싶다,I want to do part time job at movies .
143,심심하다고,I am bored ?
144,잘하는 건 칭찬해주고 본받을 점은 본받으면서 그대로 사랑해주세요.,Please compliment me about what I can do but I hope you are the same as the one .
145,버려줘서 고마워.,Thank you for the things .
146,다양하게 먹자고 해보세요.,Try to have a lot of things .
147,한강에서 소주한잔.,I drink soju at Han River .
148,대청소를 해보세요!,Try cleaning up .
149,숙면하겠네요.,The sleep is awesome .
150,잠이 최고의 보약이에요. 노력해보세요.,Try the best pill to sleep .
151,귀엽게 봐주세요.,Please look cute .
152,힘들지 않았다면 거짓말일 거예요.,If it s not hard I ll lie .
153,질긴 인연 드디어 끝인 것 같네,It was the end of the horse and the end of the end .
154,물 좋은데 어디야?,I like water ?
155,청첩장 만들어야지,It s a invitation ?
156,미래를 더 준비하고 있나봐요.,Let s take more ready in the future .
157,제발 좀 정신차리세요.,Please take some .
158,그냥 잊어버리세요.,Just forget .
159,내가 좋아하는 사람이 행복했으면 좋겠다,I wish someone I like .
160,후폭풍은 누구에게나 올 거예요.,The storm will be here by everyone .
161,말수 적은 남자인데 썸타도 괜찮을까?,It s a man who has been looking for but could it be okay if we get a lot of things ?
162,데려다주려나봐요.,It s going to be a bit .
163,심경의 변화가 있었을지도 모르겠네요.,I don t know if the change of the fact is there .
164,많이 지쳤을 거예요.,It s too much .
165,정말 그래요. 하나같이 공감되곤 하죠.,It s very important to be aware of it .
166,미련만 남을 거예요.,It s something that s been used .
167,책 좀 읽어야지,I m a book ?
168,계속 속이 진짜 안 좋아,I feel really bad .
169,바쁘거나 거절의 의미일 수도 있겠어요.,It might be the meaning of the refusal of refusing .
170,모 아니면 도예요.,Do not play .
171,그녀의 관심사에 호감을 드러내세요.,I m going to look good for her interests .
172,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?,I want to take some calls to you or get some good things for you ?
173,안경 빼니까 예뻐보여,It s pretty glasses .
174,소심남 좋아하는 여자도 있나요?,Do women have any other people like ?
175,있을 수 있지요.,You can be able to be .
176,필요한 게 뭔지 살펴보세요.,Please do what you need .
177,코 감기일 수도 있어요.,You might have a cold nose .
178,나랑 같이 놀아요.,Let s play with me .
179,따뜻한 밥 먹고 힘내봐요.,Cheer up and cheer up for warm meal .
180,저는 위기 조차 없네요.,I have no difficulties .
181,무언가의 탄생을 뜻하기도 해요.,It means the birth of the thing .
182,더 일찍 일어나세요.,Get up earlier .
183,좋은 여행 되길 바랍니다.,I hope you enjoy a good trip .
184,슬픈 이야기네요.,I m sad of sad .
185,나 폰 중독인 거 같애,Who is the type of phone addiction ?
186,나 자신에 집중하세요. 언제나 1순위에 자신을 두세요.,Try yourself to focus on your priority .
187,우산 같은 사람이네요.,It s a person like an umbrella .
188,불금이네,It s a refund ?
189,같이 내는 게 좋죠.,It s best to get up with you .
190,전여친이 나보다 나은 사람이라는 생각이 자꾸 들어,I think that the thing is a better person who is a better person than me .
191,바람 쐬고 와서 다시 들으세요.,Please hear it again because of the wind out of the wind .
192,근처 산에 가보세요.,Go to the mountain near the mountain .
193,달리세요!,It s been a bit !
194,잘 할 수 있을지 걱정 돼,I am worried if I can do it well .
195,조심히 오세요.,Please come carefully .
196,잘 이겨내고 있네요.,I think it is a good .
197,궁금할 수 있어요.,I can apologize .
198,안 사귀는 것보다 좋지요.,It is better to be in not .
199,작은것에 감사하는 마음을 가져보세요.,Take a great mind for your own .
