,한글,영어
0,정리가 필요하겠네요.,I want the order .
1,처음 만났을 때를 떠올려 보세요,When I first meet you I watch it ?
2,구썸남 인스타에 좋아요 누름.,Take a good hug on Instagram .
3,있었던 일을 차분히 생각해봐요.,Let s think I m talking about the work .
4,많이 찍다보면 조금씩 실력이 늘거예요.,If you are taking a lot of effort you can make a little bit .
5,가능하면 참석하는 게 좋겠죠.,It would be better to attend if possible .
6,비밀연애가 말도 못하고 힘들죠.,It is difficult to say it s hard .
7,자신을 너무 비난하지 마세요.,Don t blame me .
8,한가지만 보면 몰라요.,No I don t know if I am .
9,당신이 덜 다치는 쪽으로 하세요.,Please do not be fat .
10,전 다른 일을 많이 벌려요. 정신없이 바쁘면 잊혀지더라고요.,I m still busy for a lot of things .
11,나중에 후회할 거예요.,I will regret later .
12,장마인데 건조기 사는게 좋을까,It s a rainy season and it is a little bit of a car .
13,뜻대로 되는게 많지 않죠.,It doesn t be much as it is .
14,울어도 돼요.,It s cry .
15,환승 가능?,Could you transfer the transfer ?
16,여유를 가지세요.,Have a free time .
17,저는 힘들다고 생각해요.,I think it is hard .
18,안녕하세요.,Hello let s be .
19,뭐 입고 나가지?,What do you have to do ?
20,나들이 가보세요.,Go to go out .
21,결혼하면 안 좋은 점?,If you get married do you have a good thing ?
22,헤아릴 수 없는 것.,It is not possible to survive .
23,사람이 크죠.,It s a person .
24,이제 은퇴해야 하나?,Do you have to retire now ?
25,심경의 변화가 있었나봅니다.,I have no change in my mind .
26,나 보고 잘 웃는 여자애 나 좋아하는 건가?,Who do you like me so I like you ?
27,시간이 더 많이 지나가길 바랄게요.,I hope you are more time .
28,새로 적응해야겠네요.,It s a new product .
29,아무 것도 안해도 괜찮아요.,It s fine so you are fine .
30,좋아하는거 어떤 느낌이야?,What do you think of .
31,사랑 참 별거없네.,I love you a lot .
32,괜찮은 줄 알았다.,I thought you were good .
33,제가 드리고 싶네요.,I d like to give you a favor .
34,좋아하는 사람 포기하는 방법 있어?,Is there any way to give up a person who likes ?
35,철밥통 되기가 어디 쉽겠어요.,It s been a bit .
36,당신.,You re your .
37,표현하지 않고 끝낸다면 후회할 수 있어요.,I can regret not to express it .
38,밀당을 하고 싶으시군요.,I m doing it .
39,비와 당신.,You re going to rain .
40,오늘 택배기사님들 쉬는 날이예요.,Today is your holiday .
41,미인은 잠꾸러기라던데요.,I heard that a beautiful lady is fantastic .
42,생리현상은 늦게 트는 게 좋죠.,It s good to be late in the period of the period .
43,일찍 퇴근하고 쉬고 있어,I m taking a rest after work early .
44,회사와 자신에 대해서 더 공부해서 자신감을 가져보세요.,Take confidence and confidence in your company and do you work .
45,확신이 있을 때 시작해보세요.,Start the end when you are .
46,사랑한다고 표현해달라고 말해보세요.,Tell me what you love to express .
47,밤새 많은 생각을 했나봐요.,I think I ve been suffering all night .
48,그 사람이 좋아하는 것들을 알아보세요.,Search for those who like it .
49,"간단하게 팔찌나 양말, 모자, 신발 등으로 시작해보세요.",Try a simple bracelet with a bracelet or shoes shoes .
50,오늘 처리할 일 너무 많아,I have so many things to do today .
51,많이 놀랐겠어요.,It s a lot .
52,낮술 조금만 하세요.,Just only one .
53,면허 없는데 따야겠지,It s not a license .
54,재활용도 안되는 사람에 대한 기억으로 괴로워 말아요.,Don t be rude to remember the recycling method of human beings .
55,다음에는 우산에 이름이랑 연락처를 적어보세요.,Write down your name and contact contact on the next time .
56,한가지만 보면 몰라요.,No I don t know if I am ..1
57,너무 무리하면 지쳐요.,I m very exhausted .
58,이별이 온 후,Will it be a farewell after coming .
59,마음이 복잡하겠어요.,I feel like it .
60,힘들 때네요.,You are always when you are .
61,친구들과 잘 어울려보세요.,Hey friends look good with you .
62,배송 중이래,May I send it .
63,멍 때리기,Oh I hit .
64,여기까지가 한계야,It s all the limitations here .
65,누구나 몰려가는 줄에 설 필요는 없어요.,No reason is that I need to give you a goal .
66,아이스크림 먹어보세요,Would you like ice cream .
67,짝사랑 시작하고 감정 기복이 심해.,It s a love and emotional behavior of the love .
68,2년사귀다가 헤어젔는데,It s been a big hair .
69,한동안은 힘들지도 몰라요.,I might not be good at the moment .
70,어떻게 하느냐에 따라 다를 거예요.,It s different from you to do it .
71,동성을 좋아하는게 비정상이 아닌걸 아는데 고백하는건 망설여져.,I know that it s not an abnormal word but she says .
72,이젠 잊기로 해,Is it now .
73,여자예요? 남자예요?,Is there a man who is a woman ?
74,도대체 무슨 꿈을 꾼 건가요.,What s dream is to be in .
75,중요한 건 노력하는 과정이에요.,It is a process of effort to do .
76,사랑을 시작하게,Will you start love .
77,운동하면 뭐 하나,What do you do for exercise .
78,많이 만나보세요.,Meet a lot of yourself .
79,좋아하나봐요.,Maybe it s like .
80,엇갈리는 느낌 싫다,I don t want to feel like the mood .
81,내일 짝녀랑 영화보러갑니다.,I m going to a movie with tomorrow .
82,태연하게 시작해보세요.,Start up after you .
83,무엇이든 말해보세요.,Repeat whatever you do .
84,카페 가서 차 마셔도 돼요.,You can drink a car and drink tea .
85,학교 폭력은 범죄에요.,The school violence is a crime .
86,술 마시다가 더 무너져요.,It s a drink .
87,이 말 기억하세요.,Remember this word .
88,그러면 얼른 쟁취하세요.,Then please .
89,이 여자 유부녀인가,Is this a woman who is ?
90,썸 중에 고백 언제가 적절해?,When are you a confess of the face ?
91,자야하는데~~,Would be like be like go .
92,하나씩 하세요.,Be a one one .
93,챙겨 드세요.,Have a lot of .
94,기억도 안 나는 사소한 일로 싸워요.,I fight with trivial things but I fight .
95,봄은 항상 돌아오죠.,Spring is always .
96,멋진 삶을 살고 싶어,I want to live a wonderful life .
97,돈 모으는 재미,It is fun to save money .
98,쉬운 일이 아니지만 함께라면 가능할 거예요.,It s not easy to be easy but it will be possible .
99,짧으면 짧을 수록 좋죠.,The more you have a lot of .
100,얼마 되지 않았네요.,It hasn t been long .
101,인연이 아니었나봅니다.,I was not a couple of .
102,좋아하는 걸로 착각하고 있었을 수도 있어요.,I could have been confused with what I like .
103,원피스 입는 게 낫겠지,I like a dress dress .
104,기회가 다시 올 거예요.,You will come again again .
105,사랑하니까 예뻐보이는 걸 수도 있어요.,You can see it is beautiful .
106,별똥별 떨어지는 날,It s the day when I was in the auditorium .
107,차였지만 잊지못하고 있는 한 남자입니다.,It s a man who has been .
108,썸 타는 사이에 얼마나 간섭 가능?,How long can I get along with ?
109,노력하고 있어요.,I m trying my best .
110,더 깊은 공부할 수 있을 거예요.,You will be able to study more .
111,사귀기 전에 감정을 갖고 서로 알아가는 단계라면 썸일 거예요.,It will be more than I want to take care of my feelings .
112,고민이 많은데 표현을 못하겠어,I m so much that I can t express it .
113,추억이 있나봐요.,Look for the memory .
114,오늘 마지막 연락했습니다,I was in touch with the last time today .
115,남자들은 좋아하는 여자한테 이럴 수 있어?,Is the men can be like this to women ?
116,그런 사람 얼른 잊으세요.,Let s just meet it .
117,그분에게 심경 변화가 있었나봅니다.,I have no change to the fact that was the reason .
118,인생은 반복의 연속이지요.,Life is in the repeat of physics .
119,날씨가 많이 풀렸죠.,It s a lot of weather .
120,남친이 나보다 눈물이 더 많아,I have a lot of tears than my boyfriend .
121,좀 먹어도 괜찮아요.,It s fine I have .
122,바쁘거나 썸이 끝났거나겠죠.,It s .
123,존재 자체로 큰 힘이 되어주고 있나봅니다.,I believe it is a big power to exist .
124,사랑이 모두 정답이 될수는 없어요.,All the love is not the right answer .
125,그녀에게도 후폭풍이 올까??,Will it be raining after she ?
126,도전하기 싫다,I don t want to challenge this challenge .
127,우울합니다,Is the gloomy bear mind .
128,같이 놀아요.,Let s play together .
129,더 좋은 사람 만날 거예요.,I will meet a better person .
130,날이 많이 추운데.,I m cold so cold .
131,같이 놀러갈 친구가 없어,I don t have a friend to go with ?
132,앞머리만이라도 감으세요.,Please keep your bangs .
133,후회하지 않았으면 좋겠어요.,I wish you don t regret .
134,헤어진지 4일,Is it a work .
135,마음이 많이 아프겠어요.,It s a lot of heart .
136,저도 궁금해요.,I m wondering about it .
137,남과 비교하지 마세요.,Don t compare others .
138,언제쯤 무뎌질까,When when you are on the period of ?
139,그 애의 눈에도 당신이 띄길 바랄게요.,I hope you will be your eyes .
140,여유는 마음 가짐에 있어요.,The rest is in a while .
141,괜한 의미부여는 하지 마세요.,Don t mean that you have a problem .
142,영화관 알바 하고 싶다,I want to work a part time job in the movie theater .
143,심심하다고,Do you like it .
144,잘하는 건 칭찬해주고 본받을 점은 본받으면서 그대로 사랑해주세요.,Be a good thing that you are saying that you are doing well and to be loved .
145,버려줘서 고마워.,Thank you for me .
146,다양하게 먹자고 해보세요.,You have to have a variety of things .
147,한강에서 소주한잔.,Let s drink a cup of rice cake .
148,대청소를 해보세요!,Keep cleaning up .
149,숙면하겠네요.,The deep sleep is really good .
150,잠이 최고의 보약이에요. 노력해보세요.,It is the best bike for me .
151,귀엽게 봐주세요.,Be careful .
152,힘들지 않았다면 거짓말일 거예요.,It is not a lie that I didn t get it .
153,질긴 인연 드디어 끝인 것 같네,It sounds like a saying that is finally confirmed .
154,물 좋은데 어디야?,It s a good place where is it ?
155,청첩장 만들어야지,Are Mr . invitation .
156,미래를 더 준비하고 있나봐요.,Let s take more more prepared in the future .
157,제발 좀 정신차리세요.,Please take a little bit .
158,그냥 잊어버리세요.,Forget about .
159,내가 좋아하는 사람이 행복했으면 좋겠다,I wish that the person like I like you like this .
160,후폭풍은 누구에게나 올 거예요.,After the storm will be here .
161,말수 적은 남자인데 썸타도 괜찮을까?,It s a man who is getting a little if it is a man or if it is a man ?
162,데려다주려나봐요.,Hey look at .
163,심경의 변화가 있었을지도 모르겠네요.,I don t know the change of the future .
164,많이 지쳤을 거예요.,It s a big incident .
165,정말 그래요. 하나같이 공감되곤 하죠.,It s really because I m really thinking .
166,미련만 남을 거예요.,I will be a lingering idiot .
167,책 좀 읽어야지,Is the book a book .
168,계속 속이 진짜 안 좋아,I don t like it .
169,바쁘거나 거절의 의미일 수도 있겠어요.,It might be meaningful to be a meaning of the rejected .
170,모 아니면 도예요.,It can be served or a lot .
171,그녀의 관심사에 호감을 드러내세요.,You have a good impression on her interests .
172,결혼이야기를 꺼내고 싶은데 어느 분위기에 꺼내는게 좋을까?,I want to take your marriage story about how much is it ?
173,안경 빼니까 예뻐보여,Is it prettier with glasses .
174,소심남 좋아하는 여자도 있나요?,Is there a woman who loves others ?
175,있을 수 있지요.,You can be there .
176,필요한 게 뭔지 살펴보세요.,You re doing something ?
177,코 감기일 수도 있어요.,You can t catch a cold .
178,나랑 같이 놀아요.,Go with me .
179,따뜻한 밥 먹고 힘내봐요.,Always take a warm meal and cheer you .
180,저는 위기 조차 없네요.,I have no problem .
181,무언가의 탄생을 뜻하기도 해요.,It means that you mean .
182,더 일찍 일어나세요.,Wake up early .
183,좋은 여행 되길 바랍니다.,I hope you have a good trip .
184,슬픈 이야기네요.,It s sad to hear .
