,한글,영어
0,정리가 필요하겠네요.,we need a lot of configuration .
1,처음 만났을 때를 떠올려 보세요,do you think of me when i met ?
2,구썸남 인스타에 좋아요 누름.,it s like the best button on instagram .
3,있었던 일을 차분히 생각해봐요.,let s think about the work and think about it .
4,많이 찍다보면 조금씩 실력이 늘거예요.,while taking a lot of diet makes me gain self skills .
5,가능하면 참석하는 게 좋겠죠.,it s better to attend if possible .
6,비밀연애가 말도 못하고 힘들죠.,it s hard to speak and an error .
7,자신을 너무 비난하지 마세요.,don t blame yourself too .
8,한가지만 보면 몰라요.,i don t know when i see .
9,당신이 덜 다치는 쪽으로 하세요.,please be hurt .
10,전 다른 일을 많이 벌려요. 정신없이 바쁘면 잊혀지더라고요.,i will be able to have another job since i am doing more than doing anything else .
11,나중에 후회할 거예요.,i will regret it later .
12,장마인데 건조기 사는게 좋을까,it s the rainy season of a rainy season ?
13,뜻대로 되는게 많지 않죠.,it s not much of the same as soon as i do .
14,울어도 돼요.,you can t cry .
15,환승 가능?,can you transfer transfer ?
16,여유를 가지세요.,have a free time .
17,저는 힘들다고 생각해요.,i think i m tired .
18,안녕하세요.,hello hello .
19,뭐 입고 나가지?,what are you going to go out ?
20,나들이 가보세요.,go to the grand trip .
21,결혼하면 안 좋은 점?,do you not get married ?
22,헤아릴 수 없는 것.,it s not possible to be unable to be nominated .
23,사람이 크죠.,a person is coming .
24,이제 은퇴해야 하나?,do you have to retire now ?
25,심경의 변화가 있었나봅니다.,it seems a change of what i have .
26,나 보고 잘 웃는 여자애 나 좋아하는 건가?,do you like me who likes a happy smile ?
27,시간이 더 많이 지나가길 바랄게요.,i hope you have more time .
28,새로 적응해야겠네요.,i ve been a new bit .
29,아무 것도 안해도 괜찮아요.,i m not okay anything to do anything .
30,좋아하는거 어떤 느낌이야?,what makes you feel like ?
31,사랑 참 별거없네.,i don t have a big big love .
32,괜찮은 줄 알았다.,i thought i was a good thing .
33,제가 드리고 싶네요.,i want to do you .
34,좋아하는 사람 포기하는 방법 있어?,is there a way to give up someone who likes ?
35,철밥통 되기가 어디 쉽겠어요.,it s been a while that s going to be done .
36,당신.,you are you .
37,표현하지 않고 끝낸다면 후회할 수 있어요.,i can regret it and regret it .
38,밀당을 하고 싶으시군요.,i m doing it and have a lot of things .
39,비와 당신.,you are just the rain .
40,오늘 택배기사님들 쉬는 날이예요.,i have a rest of my phone articles today .
41,미인은 잠꾸러기라던데요.,i was a nun that the girl was a lazy .
42,생리현상은 늦게 트는 게 좋죠.,it is good to leave late due to the period .
43,일찍 퇴근하고 쉬고 있어,do you take a rest after work early ?
